from_to,area_m2,year_from,year_to,area_km2,pct_of_area,from_class,to_class
909,21943785.78088235,2001,2002,21.94378578088235,1.4587269948326838,9,9
910,3231546.6084558824,2001,2002,3.2315466084558824,0.21481909821237122,9,10
912,4602545.828370098,2001,2002,4.602545828370098,0.3059571357394128,9,12
913,218705.71875,2001,2002,0.21870571875,0.01453860054279483,9,13
1009,2188647.5,2001,2002,2.1886475,0.145491722454041,10,9
1010,111277591.53106616,2001,2002,111.27759153106616,7.397248054970945,10,10
1012,9090743.080085784,2001,2002,9.090743080085785,0.6043128777515953,10,12
1013,874473.84375,2001,2002,0.87447384375,0.05813120009877945,10,13
1111,221325.55330882352,2001,2002,0.22132555330882353,0.014712755696837616,11,11
1209,5626679.999203431,2001,2002,5.626679999203431,0.37403710043842564,12,9
1210,7414089.999142157,2001,2002,7.414089999142157,0.49285630710494577,12,10
1212,459823801.5925858,2001,2002,459.8238015925858,30.5670771191206,12,12
1313,874630913.9053307,2001,2002,874.6309139053307,58.14164143638415,13,13
1412,915940.5095588234,2001,2002,0.9159405095588234,0.060887722852193064,14,12
909,22316999.375,2002,2003,22.316999375,1.4835366038041788,9,9
910,2406786.703125,2002,2003,2.406786703125,0.15999266351348898,9,10
912,5035327.201960784,2002,2003,5.035327201960785,0.33472655040748284,9,12
1009,1093894.4375,2002,2003,1.0938944375,0.07271732240791141,10,9
1010,91192984.96789214,2002,2003,91.19298496789214,6.062111170804845,10,10
1012,28323785.04577206,2002,2003,28.32378504577206,1.8828414684079486,10,12
1013,1312563.6875,2002,2003,1.3125636875,0.08725349866755729,10,13
1110,218751.46875,2002,2003,0.21875146875,0.014541641802889145,11,10
1111,2574.0845588235293,2002,2003,0.0025740845588235295,0.00017111389394847067,11,11
1207,313137.0873161765,2002,2003,0.3131370873161765,0.020815985305021458,12,7
1209,656783.75,2002,2003,0.65678375,0.04366011386818766,12,9
1210,1749241.546875,2002,2003,1.749241546875,0.11628193468478357,12,10
1212,471713868.62640935,2002,2003,471.71386862640935,31.35747682160581,12,12
1313,875724093.4678307,2002,2003,875.7240934678307,58.214311237025726,13,13
712,313137.0873161765,2003,2004,0.3131370873161765,0.020815985305021458,7,12
909,22320456.5625,2003,2004,22.3204565625,1.4837664225229177,9,9
910,437484.640625,2003,2004,0.437484640625,0.029082067309476912,9,10
912,1309736.359375,2003,2004,1.309736359375,0.08706555024788304,9,12
1009,5904852.25,2003,2004,5.90485225,0.39252877619128684,10,9
1010,76025025.86942403,2003,2004,76.02502586942403,5.053811526687384,10,10
1012,13419208.31721814,2003,2004,13.41920831721814,0.8920503333870164,10,12
1013,218678.25,2003,2004,0.21867825,0.014536774540320171,10,13
1110,2574.0845588235293,2003,2004,0.0025740845588235295,0.00017111389394847067,11,10
1207,134682.2768382353,2003,2004,0.1346822768382353,0.008953089266876846,12,7
1209,7103343.187009804,2003,2004,7.103343187009804,0.472199216849782,12,9
1210,1968834.96875,2003,2004,1.96883496875,0.130879545852489,12,10
1212,495866120.4415443,2003,2004,495.8661204415443,32.9630129884521,12,12
1313,877036657.1553307,2003,2004,877.0366571553307,58.30156473569329,13,13
712,134682.2768382353,2004,2005,0.1346822768382353,0.008953089266876846,7,12
909,31174947.468259804,2004,2005,31.174947468259806,2.072374288034671,9,9
910,1093637.140625,2004,2005,1.093637140625,0.07270021843592607,9,10
912,3060067.390625,2004,2005,3.060067390625,0.20341990909338936,9,12
